id,value
frontend,
frontend.HTML,
frontend.HTML.cluster,
frontend.HTML.cluster.AgglomerativeCluster,3938
frontend.HTML.cluster.CommunityStructure,3812
frontend.HTML.cluster.HierarchicalCluster,6714
frontend.HTML.cluster.MergeEdge,743
frontend.HTML.graph,
frontend.HTML.graph.BetweennessCentrality,3534
frontend.HTML.graph.LinkDistance,5731
frontend.HTML.graph.MaxFlowMinCut,7840
frontend.HTML.graph.ShortestPaths,5914
frontend.HTML.graph.SpanningTree,3416
frontend.HTML.optimization,
frontend.HTML.optimization.AspectRatioBanker,7074
frontend.animate,
frontend.animate.Easing,17010
frontend.animate.FunctionSequence,5842
frontend.animate.interpolate,
frontend.animate.interpolate.ArrayInterpolator,1983
frontend.animate.interpolate.ColorInterpolator,2047
frontend.animate.interpolate.DateInterpolator,1375
frontend.animate.interpolate.Interpolator,8746
frontend.animate.interpolate.MatrixInterpolator,2202
frontend.animate.interpolate.NumberInterpolator,1382
frontend.animate.interpolate.ObjectInterpolator,1629
frontend.animate.interpolate.PointInterpolator,1675
frontend.animate.interpolate.RectangleInterpolator,2042
frontend.animate.ISchedulable,1041
frontend.animate.Parallel,5176
frontend.animate.Pause,449
frontend.animate.Scheduler,5593
frontend.animate.Sequence,5534
frontend.animate.Transition,9201
frontend.animate.Transitioner,19975
frontend.animate.TransitionEvent,1116
frontend.animate.Tween,6006
frontend.data,
frontend.data.converters,
frontend.data.converters.Converters,721
frontend.data.converters.DelimitedTextConverter,4294
frontend.data.converters.GraphMLConverter,9800
frontend.data.converters.IDataConverter,1314
frontend.data.converters.JSONConverter,2220
frontend.data.DataField,1759
frontend.data.DataSchema,2165
frontend.data.DataSet,586
frontend.data.DataSource,3331
frontend.data.DataTable,772
frontend.data.DataUtil,3322
frontend.display,
frontend.display.DirtySprite,8833
frontend.display.LineSprite,1732
frontend.display.RectSprite,3623
frontend.display.TextSprite,10066
frontend.flex,
frontend.flex.frontendVis,4116
frontend.physics,
frontend.physics.DragForce,1082
frontend.physics.GravityForce,1336
frontend.physics.IForce,319
frontend.physics.NBodyForce,10498
frontend.physics.Particle,2822
frontend.physics.Simulation,9983
frontend.physics.Spring,2213
frontend.physics.SpringForce,1681
frontend.query,
frontend.query.AggregateExpression,1616
frontend.query.And,1027
frontend.query.Arithmetic,3891
frontend.query.Average,891
frontend.query.BinaryExpression,2893
frontend.query.Comparison,5103
frontend.query.CompositeExpression,3677
frontend.query.Count,781
frontend.query.DateUtil,4141
frontend.query.Distinct,933
frontend.query.Expression,5130
frontend.query.ExpressionIterator,3617
frontend.query.Fn,3240
frontend.query.If,2732
frontend.query.IsA,2039
frontend.query.Literal,1214
frontend.query.Match,3748
frontend.query.Maximum,843
frontend.query.methods,
frontend.query.methods.add,593
frontend.query.methods.and,330
frontend.query.methods.average,287
frontend.query.methods.count,277
frontend.query.methods.distinct,292
frontend.query.methods.div,595
frontend.query.methods.eq,594
frontend.query.methods.fn,460
frontend.query.methods.gt,603
frontend.query.methods.gte,625
frontend.query.methods.iff,748
frontend.query.methods.isa,461
frontend.query.methods.lt,597
frontend.query.methods.lte,619
frontend.query.methods.max,283
frontend.query.methods.min,283
frontend.query.methods.mod,591
frontend.query.methods.mul,603
frontend.query.methods.neq,599
frontend.query.methods.not,386
frontend.query.methods.or,323
frontend.query.methods.orderby,307
frontend.query.methods.range,772
frontend.query.methods.select,296
frontend.query.methods.stddev,363
frontend.query.methods.sub,600
frontend.query.methods.sum,280
frontend.query.methods.update,307
frontend.query.methods.variance,335
frontend.query.methods.where,299
frontend.query.methods.xor,354
frontend.query.methods._,264
frontend.query.Minimum,843
frontend.query.Not,1554
frontend.query.Or,970
frontend.query.Query,13896
frontend.query.Range,1594
frontend.query.StringUtil,4130
frontend.query.Sum,791
frontend.query.Variable,1124
frontend.query.Variance,1876
frontend.query.Xor,1101
frontend.scale,
frontend.scale.IScaleMap,2105
frontend.scale.LinearScale,1316
frontend.scale.LogScale,3151
frontend.scale.OrdinalScale,3770
frontend.scale.QuantileScale,2435
frontend.scale.QuantitativeScale,4839
frontend.scale.RootScale,1756
frontend.scale.Scale,4268
frontend.scale.ScaleType,1821
frontend.scale.TimeScale,5833
frontend.util,
frontend.util.Arrays,8258
frontend.util.Colors,10001
frontend.util.Dates,8217
frontend.util.Displays,12555
frontend.util.Filter,2324
frontend.util.Geometry,10993
frontend.util.heap,
frontend.util.heap.FibonacciHeap,9354
frontend.util.heap.HeapNode,1233
frontend.util.IEvaluable,335
frontend.util.IPredicate,383
frontend.util.IValueProxy,874
frontend.util.math,
frontend.util.math.DenseMatrix,3165
frontend.util.math.IMatrix,2815
frontend.util.math.SparseMatrix,3366
frontend.util.Maths,17705
frontend.util.Orientation,1486
frontend.util.palette,
frontend.util.palette.ColorPalette,6367
frontend.util.palette.Palette,1229
frontend.util.palette.ShapePalette,2059
frontend.util.palette.SizePalette,2291
frontend.util.Property,5559
frontend.util.Shapes,19118
frontend.util.Sort,6887
frontend.util.Stats,6557
frontend.util.Strings,22026
frontend.vis,
frontend.vis.axis,
frontend.vis.axis.Axes,1302
frontend.vis.axis.Axis,24593
frontend.vis.axis.AxisGridLine,652
frontend.vis.axis.AxisLabel,636
frontend.vis.axis.CartesianAxes,6703
frontend.vis.controls,
frontend.vis.controls.AnchorControl,2138
frontend.vis.controls.ClickControl,3824
frontend.vis.controls.Control,1353
frontend.vis.controls.ControlList,4665
frontend.vis.controls.DragControl,2649
frontend.vis.controls.ExpandControl,2832
frontend.vis.controls.HoverControl,4896
frontend.vis.controls.IControl,763
frontend.vis.controls.PanZoomControl,5222
frontend.vis.controls.SelectionControl,7862
frontend.vis.controls.TooltipControl,8435
frontend.vis.data,
frontend.vis.data.Data,20544
frontend.vis.data.DataList,19788
frontend.vis.data.DataSprite,10349
frontend.vis.data.EdgeSprite,3301
frontend.vis.data.NodeSprite,19382
frontend.vis.data.render,
frontend.vis.data.render.ArrowType,698
frontend.vis.data.render.EdgeRenderer,5569
frontend.vis.data.render.IRenderer,353
frontend.vis.data.render.ShapeRenderer,2247
frontend.vis.data.ScaleBinding,11275
frontend.vis.data.Tree,7147
frontend.vis.data.TreeBuilder,9930
frontend.vis.events,
frontend.vis.events.DataEvent,2313
frontend.vis.events.SelectionEvent,1880
frontend.vis.events.TooltipEvent,1701
frontend.vis.events.VisualizationEvent,1117
frontend.vis.legend,
frontend.vis.legend.Legend,20859
frontend.vis.legend.LegendItem,4614
frontend.vis.legend.LegendRange,10530
frontend.vis.operator,
frontend.vis.operator.distortion,
frontend.vis.operator.distortion.BifocalDistortion,4461
frontend.vis.operator.distortion.Distortion,6314
frontend.vis.operator.distortion.FisheyeDistortion,3444
frontend.vis.operator.encoder,
frontend.vis.operator.encoder.ColorEncoder,3179
frontend.vis.operator.encoder.Encoder,4060
frontend.vis.operator.encoder.PropertyEncoder,4138
frontend.vis.operator.encoder.ShapeEncoder,1690
frontend.vis.operator.encoder.SizeEncoder,1830
frontend.vis.operator.filter,
frontend.vis.operator.filter.FisheyeTreeFilter,5219
frontend.vis.operator.filter.GraphDistanceFilter,3165
frontend.vis.operator.filter.VisibilityFilter,3509
frontend.vis.operator.IOperator,1286
frontend.vis.operator.label,
frontend.vis.operator.label.Labeler,9956
frontend.vis.operator.label.RadialLabeler,3899
frontend.vis.operator.label.StackedAreaLabeler,3202
frontend.vis.operator.layout,
frontend.vis.operator.layout.AxisLayout,6725
frontend.vis.operator.layout.BundledEdgeRouter,3727
frontend.vis.operator.layout.CircleLayout,9317
frontend.vis.operator.layout.CirclePackingLayout,12003
frontend.vis.operator.layout.DendrogramLayout,4853
frontend.vis.operator.layout.ForceDirectedLayout,8411
frontend.vis.operator.layout.IcicleTreeLayout,4864
frontend.vis.operator.layout.IndentedTreeLayout,3174
frontend.vis.operator.layout.Layout,7881
frontend.vis.operator.layout.NodeLinkTreeLayout,12870
frontend.vis.operator.layout.PieLayout,2728
frontend.vis.operator.layout.RadialTreeLayout,12348
frontend.vis.operator.layout.RandomLayout,870
frontend.vis.operator.layout.StackedAreaLayout,9121
frontend.vis.operator.layout.TreeMapLayout,9191
frontend.vis.operator.Operator,2490
frontend.vis.operator.OperatorList,5248
frontend.vis.operator.OperatorSequence,4190
frontend.vis.operator.OperatorSwitch,2581
frontend.vis.operator.SortOperator,2023
frontend.vis.Visualization,16540